Peace sells... but who's buying?, Megadeth, IMG-20241028-WA0214.jpg,  IMG-20241028-WA0215.jpg, 1973, Thrash Metal, EUA
Mötley crue, Too fast for love, IMG-20241028-WA0218.jpg,  IMG-20241028-WA0219.jpg, 1981, Glam Metal, EUA
Saxon, Innocence is no excuse, IMG-20241028-WA0222.jpg,  IMG-20241028-WA0223.jpg, 1986, Heavy Metal, Reino Unido
Slayer, Hell awaits, IMG-20241028-WA0225.jpg,  IMG-20241028-WA0227.jpg, 1985, Thrash Metal, EUA
Whitesnake, Ready an' willing, IMG-20241028-WA0231.jpg,  IMG-20241028-WA0230.jpg, 1980, Hard Rock, Reino Unido
Iron maiden, Maiden japan, IMG-20241028-WA0233.jpg,  IMG-20241028-WA0235.jpg, 1981, Heavy Metal, Reino Unido
The cars, Heartbeat city, IMG-20241028-WA0244.jpg,  IMG-20241028-WA0245.jpg, 1986, New Wave / Rock, EUA
The police, Every breath you take, IMG-20241028-WA0249.jpg,  IMG-20241028-WA0248.jpg, 1984, Rock / New Wave, Reino Unido
Led zeppelin, Led zeppelin iv, IMG-20241028-WA0255.jpg,  IMG-20241028-WA0256.jpg, 1971, Rock / Hard Rock, Reino Unido
Ratos de porao, Just another crime... in massacreland, IMG-20241028-WA0259.jpg,  IMG-20241028-WA0261.jpg, 1989, Hardcore Punk, Brasil
Jimi hendrix, Jimi plays monterey, IMG-20241028-WA0264.jpg,  IMG-20241028-WA0266.jpg, 1995, Rock / Psychedelic Rock, EUA
Titas, Go back, IMG-20241028-WA0269.jpg,  IMG-20241028-WA0270.jpg, 1993, Rock, Brasil
Titas, Cebeca dinossauro, IMG-20241028-WA0273.jpg,  IMG-20241028-WA0274.jpg, 1987, Rock, Brasil
Nazareth, The ballad album vol. 2, IMG-20241028-WA0277.jpg,  IMG-20241028-WA0278.jpg, 1975, Rock, Escócia
Creedence clearwater revival, Chronicle vol. 1, IMG-20241028-WA0281.jpg,  IMG-20241028-WA0282.jpg, 1993, Rock / Swamp Rock, EUA
Nazareth, Loud 'n' proud, IMG-20241028-WA0285.jpg,  IMG-20241028-WA0286.jpg, 1973, Rock, Escócia
Rolling stones, Undercover, IMG-20241028-WA0289.jpg,  IMG-20241028-WA0290.jpg, 1983, Rock, Reino Unido
Jimi hendrix, Jonny b. goodeGuns n' roses, IMG-20241028-WA0294.jpg,  IMG-20241028-WA0293.jpg, 1970, Rock / Blues Rock, EUA
